number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_n_features,state
40,0.996338162071577,2025-12-23 06:29:13.212568,2025-12-23 06:29:13.949488,0 days 00:00:00.736920,19,log2,2,4,300,50,COMPLETE
41,0.9979535603216295,2025-12-23 06:29:13.950686,2025-12-23 06:29:14.618169,0 days 00:00:00.667483,19,sqrt,2,4,250,70,COMPLETE
42,0.9979535603216295,2025-12-23 06:29:14.619794,2025-12-23 06:29:15.298704,0 days 00:00:00.678910,19,sqrt,2,4,250,70,COMPLETE
43,0.9979535603216295,2025-12-23 06:29:15.300328,2025-12-23 06:29:16.001464,0 days 00:00:00.701136,19,sqrt,2,4,250,70,COMPLETE
44,0.9974258367037819,2025-12-23 06:29:16.003085,2025-12-23 06:29:16.678413,0 days 00:00:00.675328,19,sqrt,1,4,250,60,COMPLETE
45,0.9979535603216295,2025-12-23 06:29:16.680041,2025-12-23 06:29:17.363361,0 days 00:00:00.683320,19,sqrt,2,4,250,70,COMPLETE
46,0.9844744517314168,2025-12-23 06:29:17.365334,2025-12-23 06:29:18.153066,0 days 00:00:00.787732,9,sqrt,2,4,300,70,COMPLETE
47,0.997727968546061,2025-12-23 06:29:18.154515,2025-12-23 06:29:18.825021,0 days 00:00:00.670506,17,log2,2,2,250,70,COMPLETE
48,0.9968094877455325,2025-12-23 06:29:18.826591,2025-12-23 06:29:19.511173,0 days 00:00:00.684582,19,sqrt,1,4,250,50,COMPLETE
49,0.9948879292286373,2025-12-23 06:29:19.512827,2025-12-23 06:29:20.298080,0 days 00:00:00.785253,17,sqrt,2,4,300,40,COMPLETE
